chart_id,chart_type
configured_modules,SimpleBarChart
active_modules,SimpleBarChart
installed_dependencies,SimpleBarChart
module_health,SimplePie
configured_module_count,SimplePie
language,SimplePie
discord_command_registration,SimplePie
discord_token_source,SimplePie
chat_sync_direction,SimplePie
chat_webhook_mode,SimplePie
webhook_avatar_mode,SimplePie
reverse_chat_account_policy,SimplePie
reverse_chat_role_policy,SimplePie
link_requirement,SimplePie
network_mode,SimplePie
console_remote_mode,SimplePie
luckperms_initial_authority,SimplePie
server_events_profile,SimplePie
status_channel_count,SimplePie
status_channel_types,SimpleBarChart
status_offline_naming,SimplePie
voicechat_mode,SimplePie
voicechat_guest_policy,SimplePie
python_worker_state,SimplePie
python_script_count,SimplePie
python_event_adapter_count,SimplePie
custom_command_count,SimplePie
workflow_count,SimplePie
enabled_server_event_count,SimplePie
delivery_queue_capacity,SimplePie
support_feature_count,SimplePie
reports_chat_history,SimplePie
feature_activity,SimpleBarChart
